,au_id,tsa,stratum_code,si_level,canfi_species,unmanaged_curve_id,managed_curve_id
0,985501000,k3z,CWHvm_HW+FDC,L,402,985501000,985521000
1,985502000,k3z,CWHvm_HW+FDC,M,402,985502000,985502000
2,985503000,k3z,CWHvm_HW+FDC,H,402,985503000,985523000
3,985501001,k3z,CWHvm_FDC+HW,L,500,985501001,985521001
4,985502001,k3z,CWHvm_FDC+HW,M,500,985502001,985522001
5,985503001,k3z,CWHvm_FDC+HW,H,500,985503001,985523001
6,985501002,k3z,CWHvm_CW+HW,L,301,985501002,985501002
7,985502002,k3z,CWHvm_CW+HW,M,301,985502002,985522002
8,985503002,k3z,CWHvm_CW+HW,H,301,985503002,985503002
9,985501003,k3z,CWHvm_HW+CW,L,402,985501003,985521003
10,985502003,k3z,CWHvm_HW+CW,M,402,985502003,985522003
11,985503003,k3z,CWHvm_HW+CW,H,402,985503003,985523003
12,985501004,k3z,CWHvm_DR+HW,L,100,985501004,985501004
13,985502004,k3z,CWHvm_DR+HW,M,100,985502004,985522004
14,985503004,k3z,CWHvm_DR+HW,H,100,985503004,985503004
15,985501005,k3z,CWHvm_HW+SS,L,402,985501005,985501005
16,985502005,k3z,CWHvm_HW+SS,M,402,985502005,985522005
17,985503005,k3z,CWHvm_HW+SS,H,402,985503005,985503005
18,985501006,k3z,CWHvm_CW+YC,L,301,985501006,985501006
19,985502006,k3z,CWHvm_CW+YC,M,301,985502006,985522006
20,985503006,k3z,CWHvm_CW+YC,H,301,985503006,985503006
21,985501007,k3z,CWHvm_HW+BA,L,402,985501007,985501007
22,985502007,k3z,CWHvm_HW+BA,M,402,985502007,985522007
23,985503007,k3z,CWHvm_HW+BA,H,402,985503007,985503007
24,985501008,k3z,CWHvm_CW+PLC,L,301,985501008,985501008
25,985502008,k3z,CWHvm_CW+PLC,M,301,985502008,985522008
26,985503008,k3z,CWHvm_CW+PLC,H,301,985503008,985503008
