original,shapefile
"FEATURE_ID","FEATURE_ID"
"MAP_ID","MAP_ID"
"POLYGON_ID","POLYGON_ID"
"OPENING_IND","OPENING_IN"
"OPENING_SOURCE","OPENING_SO"
"OPENING_NUMBER","OPENING_NU"
"FEATURE_CLASS_SKEY","FEATURE_CL"
"INVENTORY_STANDARD_CD","INVENTORY_"
"POLYGON_AREA","POLYGON_AR"
"NON_PRODUCTIVE_DESCRIPTOR_CD","NON_PRODUC"
"NON_PRODUCTIVE_CD","NON_PRODU1"
"INPUT_DATE","INPUT_DATE"
"COAST_INTERIOR_CD","COAST_INTE"
"SURFACE_EXPRESSION","SURFACE_EX"
"MODIFYING_PROCESS","MODIFYING_"
"SITE_POSITION_MESO","SITE_POSIT"
"ALPINE_DESIGNATION","ALPINE_DES"
"SOIL_NUTRIENT_REGIME","SOIL_NUTRI"
"ECOSYS_CLASS_DATA_SRC_CD","ECOSYS_CLA"
"BCLCS_LEVEL_1","BCLCS_LEVE"
"BCLCS_LEVEL_2","BCLCS_LEV1"
"BCLCS_LEVEL_3","BCLCS_LEV2"
"BCLCS_LEVEL_4","BCLCS_LEV3"
"BCLCS_LEVEL_5","BCLCS_LEV4"
"INTERPRETATION_DATE","INTERPRETA"
"PROJECT","PROJECT"
"REFERENCE_YEAR","REFERENCE_"
"SPECIAL_CRUISE_NUMBER","SPECIAL_CR"
"SPECIAL_CRUISE_NUMBER_CD","SPECIAL_C1"
"INVENTORY_REGION","INVENTORY1"
"COMPARTMENT","COMPARTMEN"
"COMPARTMENT_LETTER","COMPARTME1"
"FIZ_CD","FIZ_CD"
"FOR_MGMT_LAND_BASE_IND","FOR_MGMT_L"
"ATTRIBUTION_BASE_DATE","ATTRIBUTIO"
"PROJECTED_DATE","PROJECTED_"
"SHRUB_HEIGHT","SHRUB_HEIG"
"SHRUB_CROWN_CLOSURE","SHRUB_CROW"
"SHRUB_COVER_PATTERN","SHRUB_COVE"
"HERB_COVER_TYPE","HERB_COVER"
"HERB_COVER_PATTERN","HERB_COVE1"
"HERB_COVER_PCT","HERB_COVE2"
"BRYOID_COVER_PCT","BRYOID_COV"
"NON_VEG_COVER_PATTERN_1","NON_VEG_CO"
"NON_VEG_COVER_PCT_1","NON_VEG_C1"
"NON_VEG_COVER_TYPE_1","NON_VEG_C2"
"NON_VEG_COVER_PATTERN_2","NON_VEG_C3"
"NON_VEG_COVER_PCT_2","NON_VEG_C4"
"NON_VEG_COVER_TYPE_2","NON_VEG_C5"
"NON_VEG_COVER_PATTERN_3","NON_VEG_C6"
"NON_VEG_COVER_PCT_3","NON_VEG_C7"
"NON_VEG_COVER_TYPE_3","NON_VEG_C8"
