TARGET,PERIODS,ACTIVE,MINACTIVE,MAXACTIVE,DISCOUNT,LINEAR,PREMULTIPLY
feature.Area.managed,31,false,false,false,1.0,false,false
feature.Area.unmanaged,31,false,false,false,1.0,false,false
feature.Seral.985501000.immature,31,false,false,false,1.0,false,false
feature.Seral.985501000.mature,31,false,false,false,1.0,false,false
feature.Seral.985501000.overmature,31,false,false,false,1.0,false,false
feature.Seral.985501000.regenerating,31,false,false,false,1.0,false,false
feature.Seral.985501000.young,31,false,false,false,1.0,false,false
feature.Seral.985501001.immature,31,false,false,false,1.0,false,false
feature.Seral.985501001.mature,31,false,false,false,1.0,false,false
feature.Seral.985501001.overmature,31,false,false,false,1.0,false,false
feature.Seral.985501001.regenerating,31,false,false,false,1.0,false,false
feature.Seral.985501001.young,31,false,false,false,1.0,false,false
feature.Seral.985501003.immature,31,false,false,false,1.0,false,false
feature.Seral.985501003.mature,31,false,false,false,1.0,false,false
feature.Seral.985501003.overmature,31,false,false,false,1.0,false,false
feature.Seral.985501003.regenerating,31,false,false,false,1.0,false,false
feature.Seral.985501003.young,31,false,false,false,1.0,false,false
feature.Seral.985502001.immature,31,false,false,false,1.0,false,false
feature.Seral.985502001.mature,31,false,false,false,1.0,false,false
feature.Seral.985502001.overmature,31,false,false,false,1.0,false,false
feature.Seral.985502001.regenerating,31,false,false,false,1.0,false,false
feature.Seral.985502001.young,31,false,false,false,1.0,false,false
feature.Seral.985502002.immature,31,false,false,false,1.0,false,false
feature.Seral.985502002.mature,31,false,false,false,1.0,false,false
feature.Seral.985502002.overmature,31,false,false,false,1.0,false,false
feature.Seral.985502002.regenerating,31,false,false,false,1.0,false,false
feature.Seral.985502002.young,31,false,false,false,1.0,false,false
feature.Seral.985502003.immature,31,false,false,false,1.0,false,false
feature.Seral.985502003.mature,31,false,false,false,1.0,false,false
feature.Seral.985502003.overmature,31,false,false,false,1.0,false,false
feature.Seral.985502003.regenerating,31,false,false,false,1.0,false,false
feature.Seral.985502003.young,31,false,false,false,1.0,false,false
feature.Seral.985502004.immature,31,false,false,false,1.0,false,false
feature.Seral.985502004.mature,31,false,false,false,1.0,false,false
feature.Seral.985502004.overmature,31,false,false,false,1.0,false,false
feature.Seral.985502004.regenerating,31,false,false,false,1.0,false,false
feature.Seral.985502004.young,31,false,false,false,1.0,false,false
feature.Seral.985502005.immature,31,false,false,false,1.0,false,false
feature.Seral.985502005.mature,31,false,false,false,1.0,false,false
feature.Seral.985502005.overmature,31,false,false,false,1.0,false,false
feature.Seral.985502005.regenerating,31,false,false,false,1.0,false,false
feature.Seral.985502005.young,31,false,false,false,1.0,false,false
feature.Seral.985502006.immature,31,false,false,false,1.0,false,false
feature.Seral.985502006.mature,31,false,false,false,1.0,false,false
feature.Seral.985502006.overmature,31,false,false,false,1.0,false,false
feature.Seral.985502006.regenerating,31,false,false,false,1.0,false,false
feature.Seral.985502006.young,31,false,false,false,1.0,false,false
feature.Seral.985502007.immature,31,false,false,false,1.0,false,false
feature.Seral.985502007.mature,31,false,false,false,1.0,false,false
feature.Seral.985502007.overmature,31,false,false,false,1.0,false,false
feature.Seral.985502007.regenerating,31,false,false,false,1.0,false,false
feature.Seral.985502007.young,31,false,false,false,1.0,false,false
feature.Seral.985502008.immature,31,false,false,false,1.0,false,false
feature.Seral.985502008.mature,31,false,false,false,1.0,false,false
feature.Seral.985502008.overmature,31,false,false,false,1.0,false,false
feature.Seral.985502008.regenerating,31,false,false,false,1.0,false,false
feature.Seral.985502008.young,31,false,false,false,1.0,false,false
feature.Seral.985503000.immature,31,false,false,false,1.0,false,false
feature.Seral.985503000.mature,31,false,false,false,1.0,false,false
feature.Seral.985503000.overmature,31,false,false,false,1.0,false,false
feature.Seral.985503000.regenerating,31,false,false,false,1.0,false,false
feature.Seral.985503000.young,31,false,false,false,1.0,false,false
feature.Seral.985503001.immature,31,false,false,false,1.0,false,false
feature.Seral.985503001.mature,31,false,false,false,1.0,false,false
feature.Seral.985503001.overmature,31,false,false,false,1.0,false,false
feature.Seral.985503001.regenerating,31,false,false,false,1.0,false,false
feature.Seral.985503001.young,31,false,false,false,1.0,false,false
feature.Seral.985503003.immature,31,false,false,false,1.0,false,false
feature.Seral.985503003.mature,31,false,false,false,1.0,false,false
feature.Seral.985503003.overmature,31,false,false,false,1.0,false,false
feature.Seral.985503003.regenerating,31,false,false,false,1.0,false,false
feature.Seral.985503003.young,31,false,false,false,1.0,false,false
feature.Seral.immature,31,false,false,false,1.0,false,false
