BLOCK,DELTA,AGE,TYPE,TREATMENT
1,10,67,MANAGED,CC
1,50,40,MANAGED,CC
1,100,50,MANAGED,CC
1,130,30,MANAGED,CC
1,170,40,MANAGED,CC
1,220,50,MANAGED,CC
1,270,50,MANAGED,CC
2,4,61,MANAGED,CC
2,60,56,MANAGED,CC
2,120,60,MANAGED,CC
2,180,60,MANAGED,CC
2,240,60,MANAGED,CC
2,300,60,MANAGED,CC
3,48,85,MANAGED,CC
3,130,82,MANAGED,CC
3,216,86,MANAGED,CC
3,298,82,MANAGED,CC
4,2,59,MANAGED,CC
4,60,58,MANAGED,CC
4,120,60,MANAGED,CC
4,180,60,MANAGED,CC
4,240,60,MANAGED,CC
4,300,60,MANAGED,CC
5,10,57,MANAGED,CC
5,50,40,MANAGED,CC
5,100,50,MANAGED,CC
5,130,30,MANAGED,CC
5,170,40,MANAGED,CC
5,220,50,MANAGED,CC
5,270,50,MANAGED,CC
6,10,97,MANAGED,CC
6,100,90,MANAGED,CC
6,190,90,MANAGED,CC
6,280,90,MANAGED,CC
7,44,101,MANAGED,CC
7,144,100,MANAGED,CC
7,244,100,MANAGED,CC
8,6,283,MANAGED,CC
8,68,62,MANAGED,CC
8,130,62,MANAGED,CC
8,200,70,MANAGED,CC
8,270,70,MANAGED,CC
9,10,67,MANAGED,CC
9,70,60,MANAGED,CC
9,130,60,MANAGED,CC
9,190,60,MANAGED,CC
9,250,60,MANAGED,CC
10,6,313,MANAGED,CC
10,68,62,MANAGED,CC
10,130,62,MANAGED,CC
10,200,70,MANAGED,CC
10,270,70,MANAGED,CC
11,2,59,MANAGED,CC
11,60,58,MANAGED,CC
11,120,60,MANAGED,CC
11,180,60,MANAGED,CC
11,240,60,MANAGED,CC
11,300,60,MANAGED,CC
12,30,77,MANAGED,CC
12,90,60,MANAGED,CC
12,150,60,MANAGED,CC
12,210,60,MANAGED,CC
12,270,60,MANAGED,CC
13,30,77,MANAGED,CC
13,90,60,MANAGED,CC
13,150,60,MANAGED,CC
13,210,60,MANAGED,CC
13,270,60,MANAGED,CC
14,33,80,MANAGED,CC
14,94,61,MANAGED,CC
14,154,60,MANAGED,CC
14,214,60,MANAGED,CC
14,274,60,MANAGED,CC
15,10,137,MANAGED,CC
15,90,80,MANAGED,CC
15,170,80,MANAGED,CC
15,250,80,MANAGED,CC
16,6,133,MANAGED,CC
16,68,62,MANAGED,CC
16,130,62,MANAGED,CC
16,200,70,MANAGED,CC
16,270,70,MANAGED,CC
17,2,69,MANAGED,CC
17,60,58,MANAGED,CC
17,120,60,MANAGED,CC
17,180,60,MANAGED,CC
17,240,60,MANAGED,CC
17,300,60,MANAGED,CC
18,6,413,MANAGED,CC
18,68,62,MANAGED,CC
18,130,62,MANAGED,CC
18,200,70,MANAGED,CC
18,270,70,MANAGED,CC
19,6,133,MANAGED,CC
19,88,82,MANAGED,CC
19,170,82,MANAGED,CC
19,260,90,MANAGED,CC
20,30,77,MANAGED,CC
20,90,60,MANAGED,CC
20,150,60,MANAGED,CC
20,210,60,MANAGED,CC
20,270,60,MANAGED,CC
21,10,77,MANAGED,CC
21,70,60,MANAGED,CC
21,130,60,MANAGED,CC
21,190,60,MANAGED,CC
21,250,60,MANAGED,CC
22,6,63,MANAGED,CC
22,60,54,MANAGED,CC
22,120,60,MANAGED,CC
22,180,60,MANAGED,CC
22,240,60,MANAGED,CC
22,300,60,MANAGED,CC
23,2,129,MANAGED,CC
23,60,58,MANAGED,CC
23,120,60,MANAGED,CC
23,180,60,MANAGED,CC
23,240,60,MANAGED,CC
23,300,60,MANAGED,CC
24,10,287,MANAGED,CC
24,90,80,MANAGED,CC
24,170,80,MANAGED,CC
24,250,80,MANAGED,CC
25,2,59,MANAGED,CC
25,60,58,MANAGED,CC
25,120,60,MANAGED,CC
25,180,60,MANAGED,CC
25,240,60,MANAGED,CC
25,300,60,MANAGED,CC
26,20,67,MANAGED,CC
26,80,60,MANAGED,CC
26,140,60,MANAGED,CC
26,200,60,MANAGED,CC
26,260,60,MANAGED,CC
27,4,211,MANAGED,CC
27,70,66,MANAGED,CC
27,140,70,MANAGED,CC
27,210,70,MANAGED,CC
27,280,70,MANAGED,CC
28,10,67,MANAGED,CC
28,70,60,MANAGED,CC
28,130,60,MANAGED,CC
28,190,60,MANAGED,CC
28,250,60,MANAGED,CC
29,2,59,MANAGED,CC
29,60,58,MANAGED,CC
29,120,60,MANAGED,CC
29,180,60,MANAGED,CC
29,240,60,MANAGED,CC
29,300,60,MANAGED,CC
30,10,117,MANAGED,CC
30,90,80,MANAGED,CC
30,170,80,MANAGED,CC
30,250,80,MANAGED,CC
31,4,361,MANAGED,CC
31,70,66,MANAGED,CC
31,140,70,MANAGED,CC
31,210,70,MANAGED,CC
31,280,70,MANAGED,CC
32,6,283,MANAGED,CC
32,68,62,MANAGED,CC
32,130,62,MANAGED,CC
32,200,70,MANAGED,CC
32,270,70,MANAGED,CC
33,4,131,MANAGED,CC
33,110,106,MANAGED,CC
33,220,110,MANAGED,CC
34,10,247,MANAGED,CC
34,100,90,MANAGED,CC
34,190,90,MANAGED,CC
34,280,90,MANAGED,CC
35,10,67,MANAGED,CC
35,80,70,MANAGED,CC
35,140,60,MANAGED,CC
35,200,60,MANAGED,CC
35,260,60,MANAGED,CC
36,30,77,MANAGED,CC
36,90,60,MANAGED,CC
36,150,60,MANAGED,CC
36,210,60,MANAGED,CC
36,270,60,MANAGED,CC
37,6,133,MANAGED,CC
37,88,82,MANAGED,CC
37,170,82,MANAGED,CC
37,260,90,MANAGED,CC
38,6,413,MANAGED,CC
38,68,62,MANAGED,CC
38,130,62,MANAGED,CC
38,200,70,MANAGED,CC
38,270,70,MANAGED,CC
39,30,77,MANAGED,CC
39,100,70,MANAGED,CC
39,163,63,MANAGED,CC
39,228,65,MANAGED,CC
39,290,62,MANAGED,CC
40,10,247,MANAGED,CC
40,100,90,MANAGED,CC
40,190,90,MANAGED,CC
40,280,90,MANAGED,CC
41,10,67,MANAGED,CC
41,70,60,MANAGED,CC
41,130,60,MANAGED,CC
41,190,60,MANAGED,CC
41,250,60,MANAGED,CC
42,2,129,MANAGED,CC
42,60,58,MANAGED,CC
42,120,60,MANAGED,CC
42,180,60,MANAGED,CC
42,240,60,MANAGED,CC
42,300,60,MANAGED,CC
43,50,97,MANAGED,CC
43,146,96,MANAGED,CC
43,240,94,MANAGED,CC
44,10,67,MANAGED,CC
44,80,70,MANAGED,CC
44,140,60,MANAGED,CC
44,200,60,MANAGED,CC
44,260,60,MANAGED,CC
45,2,109,MANAGED,CC
45,60,58,MANAGED,CC
45,120,60,MANAGED,CC
45,180,60,MANAGED,CC
45,240,60,MANAGED,CC
45,300,60,MANAGED,CC
46,10,247,MANAGED,CC
46,100,90,MANAGED,CC
46,190,90,MANAGED,CC
46,280,90,MANAGED,CC
47,2,79,MANAGED,CC
47,60,58,MANAGED,CC
47,120,60,MANAGED,CC
47,180,60,MANAGED,CC
47,240,60,MANAGED,CC
47,300,60,MANAGED,CC
48,3,46,MANAGED,CC
48,50,47,MANAGED,CC
48,100,50,MANAGED,CC
48,149,49,MANAGED,CC
48,190,41,MANAGED,CC
48,230,40,MANAGED,CC
48,269,39,MANAGED,CC
49,50,97,MANAGED,CC
49,146,96,MANAGED,CC
49,240,94,MANAGED,CC
50,10,247,MANAGED,CC
50,100,90,MANAGED,CC
50,190,90,MANAGED,CC
50,280,90,MANAGED,CC
51,10,113,MANAGED,CC
51,90,80,MANAGED,CC
51,170,80,MANAGED,CC
51,250,80,MANAGED,CC
52,6,409,MANAGED,CC
52,68,62,MANAGED,CC
52,130,62,MANAGED,CC
52,200,70,MANAGED,CC
52,270,70,MANAGED,CC
53,6,183,MANAGED,CC
53,68,62,MANAGED,CC
53,130,62,MANAGED,CC
53,200,70,MANAGED,CC
53,270,70,MANAGED,CC
54,10,57,MANAGED,CC
54,50,40,MANAGED,CC
54,100,50,MANAGED,CC
54,130,30,MANAGED,CC
54,170,40,MANAGED,CC
54,220,50,MANAGED,CC
54,270,50,MANAGED,CC
55,6,283,MANAGED,CC
55,68,62,MANAGED,CC
55,130,62,MANAGED,CC
55,200,70,MANAGED,CC
55,270,70,MANAGED,CC
56,10,57,MANAGED,CC
56,50,40,MANAGED,CC
56,100,50,MANAGED,CC
56,130,30,MANAGED,CC
56,170,40,MANAGED,CC
56,220,50,MANAGED,CC
56,270,50,MANAGED,CC
57,50,97,MANAGED,CC
57,146,96,MANAGED,CC
57,240,94,MANAGED,CC
58,6,243,MANAGED,CC
58,68,62,MANAGED,CC
58,130,62,MANAGED,CC
58,200,70,MANAGED,CC
58,270,70,MANAGED,CC
59,6,363,MANAGED,CC
59,68,62,MANAGED,CC
59,130,62,MANAGED,CC
59,200,70,MANAGED,CC
59,270,70,MANAGED,CC
60,4,311,MANAGED,CC
60,70,66,MANAGED,CC
60,140,70,MANAGED,CC
60,210,70,MANAGED,CC
60,280,70,MANAGED,CC
61,2,109,MANAGED,CC
61,60,58,MANAGED,CC
61,120,60,MANAGED,CC
61,180,60,MANAGED,CC
61,240,60,MANAGED,CC
61,300,60,MANAGED,CC
62,30,77,MANAGED,CC
62,90,60,MANAGED,CC
62,150,60,MANAGED,CC
62,210,60,MANAGED,CC
62,270,60,MANAGED,CC
63,20,67,MANAGED,CC
63,80,60,MANAGED,CC
63,140,60,MANAGED,CC
63,200,60,MANAGED,CC
63,260,60,MANAGED,CC
64,6,243,MANAGED,CC
64,68,62,MANAGED,CC
64,130,62,MANAGED,CC
64,200,70,MANAGED,CC
64,270,70,MANAGED,CC
65,4,361,MANAGED,CC
65,80,76,MANAGED,CC
65,150,70,MANAGED,CC
65,220,70,MANAGED,CC
65,290,70,MANAGED,CC
66,10,67,MANAGED,CC
66,70,60,MANAGED,CC
66,130,60,MANAGED,CC
66,190,60,MANAGED,CC
66,250,60,MANAGED,CC
67,30,77,MANAGED,CC
67,90,60,MANAGED,CC
67,150,60,MANAGED,CC
67,210,60,MANAGED,CC
67,270,60,MANAGED,CC
68,10,67,MANAGED,CC
68,70,60,MANAGED,CC
68,130,60,MANAGED,CC
68,190,60,MANAGED,CC
68,250,60,MANAGED,CC
69,20,67,MANAGED,CC
69,80,60,MANAGED,CC
69,140,60,MANAGED,CC
69,200,60,MANAGED,CC
69,260,60,MANAGED,CC
70,6,133,MANAGED,CC
70,68,62,MANAGED,CC
70,130,62,MANAGED,CC
70,200,70,MANAGED,CC
70,270,70,MANAGED,CC
71,10,137,MANAGED,CC
71,90,80,MANAGED,CC
71,170,80,MANAGED,CC
71,250,80,MANAGED,CC
72,2,103,MANAGED,CC
72,60,58,MANAGED,CC
72,120,60,MANAGED,CC
72,180,60,MANAGED,CC
72,240,60,MANAGED,CC
72,300,60,MANAGED,CC
73,6,267,MANAGED,CC
73,100,94,MANAGED,CC
73,200,100,MANAGED,CC
73,299,99,MANAGED,CC
74,10,67,MANAGED,CC
74,70,60,MANAGED,CC
74,130,60,MANAGED,CC
74,190,60,MANAGED,CC
74,250,60,MANAGED,CC
75,30,77,MANAGED,CC
75,98,68,MANAGED,CC
75,160,62,MANAGED,CC
75,230,70,MANAGED,CC
75,300,70,MANAGED,CC
76,10,247,MANAGED,CC
76,70,60,MANAGED,CC
76,130,60,MANAGED,CC
76,190,60,MANAGED,CC
76,250,60,MANAGED,CC
77,2,59,MANAGED,CC
77,60,58,MANAGED,CC
77,120,60,MANAGED,CC
77,180,60,MANAGED,CC
77,240,60,MANAGED,CC
77,300,60,MANAGED,CC
78,20,67,MANAGED,CC
78,80,60,MANAGED,CC
78,140,60,MANAGED,CC
78,200,60,MANAGED,CC
78,260,60,MANAGED,CC
79,10,187,MANAGED,CC
79,90,80,MANAGED,CC
79,170,80,MANAGED,CC
79,250,80,MANAGED,CC
80,6,133,MANAGED,CC
80,68,62,MANAGED,CC
80,130,62,MANAGED,CC
80,200,70,MANAGED,CC
80,270,70,MANAGED,CC
81,10,317,MANAGED,CC
81,78,68,MANAGED,CC
81,140,62,MANAGED,CC
81,210,70,MANAGED,CC
81,280,70,MANAGED,CC
82,40,97,MANAGED,CC
82,120,80,MANAGED,CC
82,210,90,MANAGED,CC
82,290,80,MANAGED,CC
83,6,83,MANAGED,CC
83,88,82,MANAGED,CC
83,170,82,MANAGED,CC
83,260,90,MANAGED,CC
84,2,59,MANAGED,CC
84,60,58,MANAGED,CC
84,120,60,MANAGED,CC
84,180,60,MANAGED,CC
84,240,60,MANAGED,CC
84,300,60,MANAGED,CC
85,10,67,MANAGED,CC
85,80,70,MANAGED,CC
85,140,60,MANAGED,CC
85,200,60,MANAGED,CC
85,260,60,MANAGED,CC
86,10,107,MANAGED,CC
86,100,90,MANAGED,CC
86,190,90,MANAGED,CC
86,280,90,MANAGED,CC
87,10,67,MANAGED,CC
87,70,60,MANAGED,CC
87,130,60,MANAGED,CC
87,190,60,MANAGED,CC
87,250,60,MANAGED,CC
88,10,317,MANAGED,CC
88,90,80,MANAGED,CC
88,170,80,MANAGED,CC
88,250,80,MANAGED,CC
89,10,117,MANAGED,CC
89,80,70,MANAGED,CC
89,140,60,MANAGED,CC
89,200,60,MANAGED,CC
89,260,60,MANAGED,CC
90,10,67,MANAGED,CC
90,70,60,MANAGED,CC
90,130,60,MANAGED,CC
90,190,60,MANAGED,CC
90,250,60,MANAGED,CC
91,50,97,MANAGED,CC
91,146,96,MANAGED,CC
91,240,94,MANAGED,CC
92,4,241,MANAGED,CC
92,70,66,MANAGED,CC
92,140,70,MANAGED,CC
92,210,70,MANAGED,CC
92,280,70,MANAGED,CC
93,10,247,MANAGED,CC
93,78,68,MANAGED,CC
93,140,62,MANAGED,CC
93,210,70,MANAGED,CC
93,280,70,MANAGED,CC
94,6,313,MANAGED,CC
94,68,62,MANAGED,CC
94,130,62,MANAGED,CC
94,200,70,MANAGED,CC
94,270,70,MANAGED,CC
95,2,59,MANAGED,CC
95,60,58,MANAGED,CC
95,120,60,MANAGED,CC
95,180,60,MANAGED,CC
95,240,60,MANAGED,CC
95,300,60,MANAGED,CC
96,10,57,MANAGED,CC
96,70,60,MANAGED,CC
96,130,60,MANAGED,CC
96,190,60,MANAGED,CC
96,250,60,MANAGED,CC
97,10,67,MANAGED,CC
97,70,60,MANAGED,CC
97,130,60,MANAGED,CC
97,190,60,MANAGED,CC
97,250,60,MANAGED,CC
98,10,247,MANAGED,CC
98,100,90,MANAGED,CC
98,190,90,MANAGED,CC
98,280,90,MANAGED,CC
99,4,111,MANAGED,CC
99,88,84,MANAGED,CC
99,170,82,MANAGED,CC
99,260,90,MANAGED,CC
100,10,367,MANAGED,CC
100,90,80,MANAGED,CC
100,170,80,MANAGED,CC
100,250,80,MANAGED,CC
101,20,67,MANAGED,CC
101,80,60,MANAGED,CC
101,140,60,MANAGED,CC
101,200,60,MANAGED,CC
101,260,60,MANAGED,CC
102,20,67,MANAGED,CC
102,80,60,MANAGED,CC
102,140,60,MANAGED,CC
102,200,60,MANAGED,CC
102,260,60,MANAGED,CC
103,10,247,MANAGED,CC
103,78,68,MANAGED,CC
103,140,62,MANAGED,CC
103,210,70,MANAGED,CC
103,280,70,MANAGED,CC
104,4,241,MANAGED,CC
104,70,66,MANAGED,CC
104,140,70,MANAGED,CC
104,210,70,MANAGED,CC
104,280,70,MANAGED,CC
105,10,67,MANAGED,CC
105,50,40,MANAGED,CC
105,100,50,MANAGED,CC
105,130,30,MANAGED,CC
105,170,40,MANAGED,CC
105,220,50,MANAGED,CC
105,270,50,MANAGED,CC
106,10,75,MANAGED,CC
106,78,68,MANAGED,CC
106,140,62,MANAGED,CC
106,210,70,MANAGED,CC
106,280,70,MANAGED,CC
107,10,367,MANAGED,CC
107,78,68,MANAGED,CC
107,140,62,MANAGED,CC
107,210,70,MANAGED,CC
107,280,70,MANAGED,CC
108,30,77,MANAGED,CC
108,90,60,MANAGED,CC
108,150,60,MANAGED,CC
108,210,60,MANAGED,CC
108,270,60,MANAGED,CC
109,20,77,MANAGED,CC
109,90,70,MANAGED,CC
109,150,60,MANAGED,CC
109,210,60,MANAGED,CC
109,270,60,MANAGED,CC
110,2,69,MANAGED,CC
110,60,58,MANAGED,CC
110,120,60,MANAGED,CC
110,180,60,MANAGED,CC
110,240,60,MANAGED,CC
110,300,60,MANAGED,CC
111,6,313,MANAGED,CC
111,68,62,MANAGED,CC
111,130,62,MANAGED,CC
111,200,70,MANAGED,CC
111,270,70,MANAGED,CC
112,30,77,MANAGED,CC
112,90,60,MANAGED,CC
112,150,60,MANAGED,CC
112,210,60,MANAGED,CC
112,270,60,MANAGED,CC
113,40,87,MANAGED,CC
113,100,60,MANAGED,CC
113,160,60,MANAGED,CC
