Name,Title,Class,Source,Extensions
objective,Active target objective summary,ca.spatial.patchworks.ShortageReport,Target table,html;csv
shortage,Active target shortage summary,ca.spatial.patchworks.ShortageReport,Target table,html;csv
feature_Area_managed,Targets for feature.Area.managed,ca.spatial.reportwriter.TargetLimitReport,Target table,html;csv;png
feature_Area_unmanaged,Targets for feature.Area.unmanaged,ca.spatial.reportwriter.TargetLimitReport,Target table,html;csv;png
feature_Seral_985501000_immature,Targets for feature.Seral.985501000.immature,ca.spatial.reportwriter.TargetLimitReport,Target table,html;csv;png
feature_Seral_985501000_mature,Targets for feature.Seral.985501000.mature,ca.spatial.reportwriter.TargetLimitReport,Target table,html;csv;png
feature_Seral_985501000_overmature,Targets for feature.Seral.985501000.overmature,ca.spatial.reportwriter.TargetLimitReport,Target table,html;csv;png
feature_Seral_985501000_regenerating,Targets for feature.Seral.985501000.regenerating,ca.spatial.reportwriter.TargetLimitReport,Target table,html;csv;png
feature_Seral_985501000_young,Targets for feature.Seral.985501000.young,ca.spatial.reportwriter.TargetLimitReport,Target table,html;csv;png
feature_Seral_985501001_immature,Targets for feature.Seral.985501001.immature,ca.spatial.reportwriter.TargetLimitReport,Target table,html;csv;png
feature_Seral_985501001_mature,Targets for feature.Seral.985501001.mature,ca.spatial.reportwriter.TargetLimitReport,Target table,html;csv;png
feature_Seral_985501001_overmature,Targets for feature.Seral.985501001.overmature,ca.spatial.reportwriter.TargetLimitReport,Target table,html;csv;png
feature_Seral_985501001_regenerating,Targets for feature.Seral.985501001.regenerating,ca.spatial.reportwriter.TargetLimitReport,Target table,html;csv;png
feature_Seral_985501001_young,Targets for feature.Seral.985501001.young,ca.spatial.reportwriter.TargetLimitReport,Target table,html;csv;png
feature_Seral_985501003_immature,Targets for feature.Seral.985501003.immature,ca.spatial.reportwriter.TargetLimitReport,Target table,html;csv;png
feature_Seral_985501003_mature,Targets for feature.Seral.985501003.mature,ca.spatial.reportwriter.TargetLimitReport,Target table,html;csv;png
feature_Seral_985501003_overmature,Targets for feature.Seral.985501003.overmature,ca.spatial.reportwriter.TargetLimitReport,Target table,html;csv;png
feature_Seral_985501003_regenerating,Targets for feature.Seral.985501003.regenerating,ca.spatial.reportwriter.TargetLimitReport,Target table,html;csv;png
feature_Seral_985501003_young,Targets for feature.Seral.985501003.young,ca.spatial.reportwriter.TargetLimitReport,Target table,html;csv;png
