GROUP,ATTRIBUTE,ACCOUNT,SUM
_MANAGED_,feature.Area.managed,feature.Area.managed,1
_UNMANAGED_,feature.Area.unmanaged,feature.Area.unmanaged,1
_ALL_,feature.Seral.985501000.immature,feature.Seral.985501000.immature,1
_ALL_,feature.Seral.985501000.mature,feature.Seral.985501000.mature,1
_ALL_,feature.Seral.985501000.overmature,feature.Seral.985501000.overmature,1
_ALL_,feature.Seral.985501000.regenerating,feature.Seral.985501000.regenerating,1
_ALL_,feature.Seral.985501000.young,feature.Seral.985501000.young,1
_ALL_,feature.Seral.985501001.immature,feature.Seral.985501001.immature,1
_ALL_,feature.Seral.985501001.mature,feature.Seral.985501001.mature,1
_ALL_,feature.Seral.985501001.overmature,feature.Seral.985501001.overmature,1
_ALL_,feature.Seral.985501001.regenerating,feature.Seral.985501001.regenerating,1
_ALL_,feature.Seral.985501001.young,feature.Seral.985501001.young,1
_ALL_,feature.Seral.985501003.immature,feature.Seral.985501003.immature,1
_ALL_,feature.Seral.985501003.mature,feature.Seral.985501003.mature,1
_ALL_,feature.Seral.985501003.overmature,feature.Seral.985501003.overmature,1
_ALL_,feature.Seral.985501003.regenerating,feature.Seral.985501003.regenerating,1
_ALL_,feature.Seral.985501003.young,feature.Seral.985501003.young,1
_ALL_,feature.Seral.985502001.immature,feature.Seral.985502001.immature,1
_ALL_,feature.Seral.985502001.mature,feature.Seral.985502001.mature,1
_ALL_,feature.Seral.985502001.overmature,feature.Seral.985502001.overmature,1
_ALL_,feature.Seral.985502001.regenerating,feature.Seral.985502001.regenerating,1
_ALL_,feature.Seral.985502001.young,feature.Seral.985502001.young,1
_ALL_,feature.Seral.985502002.immature,feature.Seral.985502002.immature,1
_ALL_,feature.Seral.985502002.mature,feature.Seral.985502002.mature,1
_ALL_,feature.Seral.985502002.overmature,feature.Seral.985502002.overmature,1
_ALL_,feature.Seral.985502002.regenerating,feature.Seral.985502002.regenerating,1
_ALL_,feature.Seral.985502002.young,feature.Seral.985502002.young,1
_ALL_,feature.Seral.985502003.immature,feature.Seral.985502003.immature,1
_ALL_,feature.Seral.985502003.mature,feature.Seral.985502003.mature,1
_ALL_,feature.Seral.985502003.overmature,feature.Seral.985502003.overmature,1
_ALL_,feature.Seral.985502003.regenerating,feature.Seral.985502003.regenerating,1
_ALL_,feature.Seral.985502003.young,feature.Seral.985502003.young,1
_ALL_,feature.Seral.985502004.immature,feature.Seral.985502004.immature,1
_ALL_,feature.Seral.985502004.mature,feature.Seral.985502004.mature,1
_ALL_,feature.Seral.985502004.overmature,feature.Seral.985502004.overmature,1
_ALL_,feature.Seral.985502004.regenerating,feature.Seral.985502004.regenerating,1
_ALL_,feature.Seral.985502004.young,feature.Seral.985502004.young,1
_ALL_,feature.Seral.985502005.immature,feature.Seral.985502005.immature,1
_ALL_,feature.Seral.985502005.mature,feature.Seral.985502005.mature,1
_ALL_,feature.Seral.985502005.overmature,feature.Seral.985502005.overmature,1
_ALL_,feature.Seral.985502005.regenerating,feature.Seral.985502005.regenerating,1
_ALL_,feature.Seral.985502005.young,feature.Seral.985502005.young,1
_ALL_,feature.Seral.985502006.immature,feature.Seral.985502006.immature,1
_ALL_,feature.Seral.985502006.mature,feature.Seral.985502006.mature,1
_ALL_,feature.Seral.985502006.overmature,feature.Seral.985502006.overmature,1
_ALL_,feature.Seral.985502006.regenerating,feature.Seral.985502006.regenerating,1
_ALL_,feature.Seral.985502006.young,feature.Seral.985502006.young,1
_ALL_,feature.Seral.985502007.immature,feature.Seral.985502007.immature,1
_ALL_,feature.Seral.985502007.mature,feature.Seral.985502007.mature,1
_ALL_,feature.Seral.985502007.overmature,feature.Seral.985502007.overmature,1
_ALL_,feature.Seral.985502007.regenerating,feature.Seral.985502007.regenerating,1
_ALL_,feature.Seral.985502007.young,feature.Seral.985502007.young,1
_ALL_,feature.Seral.985502008.immature,feature.Seral.985502008.immature,1
_ALL_,feature.Seral.985502008.mature,feature.Seral.985502008.mature,1
_ALL_,feature.Seral.985502008.overmature,feature.Seral.985502008.overmature,1
_ALL_,feature.Seral.985502008.regenerating,feature.Seral.985502008.regenerating,1
_ALL_,feature.Seral.985502008.young,feature.Seral.985502008.young,1
_ALL_,feature.Seral.985503000.immature,feature.Seral.985503000.immature,1
_ALL_,feature.Seral.985503000.mature,feature.Seral.985503000.mature,1
_ALL_,feature.Seral.985503000.overmature,feature.Seral.985503000.overmature,1
_ALL_,feature.Seral.985503000.regenerating,feature.Seral.985503000.regenerating,1
_ALL_,feature.Seral.985503000.young,feature.Seral.985503000.young,1
_ALL_,feature.Seral.985503001.immature,feature.Seral.985503001.immature,1
_ALL_,feature.Seral.985503001.mature,feature.Seral.985503001.mature,1
_ALL_,feature.Seral.985503001.overmature,feature.Seral.985503001.overmature,1
_ALL_,feature.Seral.985503001.regenerating,feature.Seral.985503001.regenerating,1
_ALL_,feature.Seral.985503001.young,feature.Seral.985503001.young,1
_ALL_,feature.Seral.985503003.immature,feature.Seral.985503003.immature,1
_ALL_,feature.Seral.985503003.mature,feature.Seral.985503003.mature,1
_ALL_,feature.Seral.985503003.overmature,feature.Seral.985503003.overmature,1
