TYPE,ROTATION,treatment,AU,IFM,ORIGIN,RETENTION
succession,0,,985502004,unmanaged,planted,0.15
succession,0,,985502004,managed,planted,0.15
succession,0,,985503001,managed,planted,0.0
succession,0,,985502003,unmanaged,planted,0.28
succession,0,,985502003,managed,planted,0.28
succession,0,,985503000,managed,planted,0.0
succession,0,,985502004,unmanaged,planted,0.66
succession,0,,985502004,managed,planted,0.66
succession,0,,985501003,managed,natural,0.0
succession,1,,985501003,managed,planted,0.0
succession,0,,985501001,unmanaged,planted,0.09
succession,0,,985501001,managed,planted,0.09
succession,0,,985502002,managed,natural,0.0
succession,1,,985502002,managed,planted,0.0
succession,0,,985501000,managed,planted,0.0
succession,0,,985502001,unmanaged,planted,0.13
succession,0,,985502001,managed,planted,0.13
succession,0,,985502001,unmanaged,planted,0.03
succession,0,,985502001,managed,planted,0.03
succession,0,,985503003,managed,natural,0.0
succession,1,,985503003,managed,planted,0.0
succession,0,,985501000,unmanaged,natural,0.04
succession,0,,985501000,managed,natural,0.04
succession,1,,985501000,managed,planted,0.04
succession,0,,985502002,unmanaged,natural,0.51
succession,0,,985502002,managed,natural,0.51
succession,1,,985502002,managed,planted,0.51
succession,0,,985502003,unmanaged,natural,0.43
succession,0,,985502003,managed,natural,0.43
succession,1,,985502003,managed,planted,0.43
succession,0,,985503001,unmanaged,planted,0.04
succession,0,,985503001,managed,planted,0.04
succession,0,,985503000,unmanaged,natural,0.05
succession,0,,985503000,managed,natural,0.05
succession,1,,985503000,managed,planted,0.05
succession,0,,985501000,unmanaged,natural,0.05
succession,0,,985501000,managed,natural,0.05
succession,1,,985501000,managed,planted,0.05
succession,0,,985502006,managed,natural,0.0
succession,1,,985502006,managed,planted,0.0
succession,0,,985503000,unmanaged,planted,0.01
succession,0,,985503000,managed,planted,0.01
succession,0,,985502007,unmanaged,natural,0.14
succession,0,,985502007,managed,natural,0.14
succession,1,,985502007,managed,planted,0.14
succession,0,,985502001,managed,planted,0.0
succession,0,,985503003,unmanaged,natural,0.22
succession,0,,985503003,managed,natural,0.22
succession,1,,985503003,managed,planted,0.22
succession,0,,985502002,unmanaged,natural,0.5
succession,0,,985502002,managed,natural,0.5
succession,1,,985502002,managed,planted,0.5
succession,0,,985502002,unmanaged,natural,0.39
succession,0,,985502002,managed,natural,0.39
succession,1,,985502002,managed,planted,0.39
succession,0,,985501001,managed,natural,0.0
succession,1,,985501001,managed,planted,0.0
succession,0,,985501003,unmanaged,natural,0.58
succession,0,,985501003,managed,natural,0.58
succession,1,,985501003,managed,planted,0.58
succession,0,,985502003,managed,natural,0.0
succession,1,,985502003,managed,planted,0.0
succession,0,,985501000,managed,natural,0.0
succession,0,,985501003,unmanaged,natural,0.02
succession,0,,985501003,managed,natural,0.02
succession,1,,985501003,managed,planted,0.02
succession,0,,985502004,unmanaged,planted,0.1
succession,0,,985502004,managed,planted,0.1
succession,0,,985501001,unmanaged,planted,0.48
succession,0,,985501001,managed,planted,0.48
succession,0,,985502002,unmanaged,natural,0.46
succession,0,,985502002,managed,natural,0.46
succession,1,,985502002,managed,planted,0.46
succession,0,,985502002,unmanaged,natural,0.84
succession,0,,985502002,managed,natural,0.84
succession,1,,985502002,managed,planted,0.84
succession,0,,985502004,unmanaged,planted,0.07
succession,0,,985502004,managed,planted,0.07
succession,0,,985502002,unmanaged,natural,0.14
succession,0,,985502002,managed,natural,0.14
succession,1,,985502002,managed,planted,0.14
succession,0,,985502004,unmanaged,planted,0.29
succession,0,,985502004,managed,planted,0.29
succession,0,,985501001,unmanaged,planted,0.11
succession,0,,985501001,managed,planted,0.11
succession,0,,985502002,unmanaged,natural,0.69
succession,0,,985502002,managed,natural,0.69
succession,1,,985502002,managed,planted,0.69
succession,0,,985502002,unmanaged,natural,0.98
succession,0,,985502002,managed,natural,0.98
succession,1,,985502002,managed,planted,0.98
succession,0,,985502008,managed,natural,0.0
succession,1,,985502008,managed,planted,0.0
succession,0,,985503000,managed,natural,0.0
succession,0,,985503000,unmanaged,planted,0.39
succession,0,,985503000,managed,planted,0.39
succession,0,,985503000,unmanaged,planted,0.38
succession,0,,985503000,managed,planted,0.38
succession,0,,985501000,unmanaged,planted,0.08
succession,0,,985501000,managed,planted,0.08
succession,0,,985502002,unmanaged,natural,0.57
succession,0,,985502002,managed,natural,0.57
succession,1,,985502002,managed,planted,0.57
succession,0,,985502001,unmanaged,natural,0.2
succession,0,,985502001,managed,natural,0.2
succession,1,,985502001,managed,planted,0.2
succession,0,,985503000,unmanaged,planted,0.41
succession,0,,985503000,managed,planted,0.41
succession,0,,985502002,unmanaged,planted,0.13
succession,0,,985502002,managed,planted,0.13
succession,0,,985503000,unmanaged,planted,0.49
succession,0,,985503000,managed,planted,0.49
succession,0,,985503003,unmanaged,natural,0.49
succession,0,,985503003,managed,natural,0.49
succession,1,,985503003,managed,planted,0.49
succession,0,,985502002,unmanaged,natural,0.58
succession,0,,985502002,managed,natural,0.58
succession,1,,985502002,managed,planted,0.58
succession,0,,985502002,unmanaged,natural,0.19
succession,0,,985502002,managed,natural,0.19
succession,1,,985502002,managed,planted,0.19
succession,0,,985503003,unmanaged,planted,0.02
succession,0,,985503003,managed,planted,0.02
succession,0,,985503000,unmanaged,planted,0.14
succession,0,,985503000,managed,planted,0.14
succession,0,,985501000,unmanaged,planted,0.02
succession,0,,985501000,managed,planted,0.02
succession,0,,985503000,unmanaged,natural,0.23
succession,0,,985503000,managed,natural,0.23
succession,1,,985503000,managed,planted,0.23
succession,0,,985502007,managed,natural,0.0
succession,1,,985502007,managed,planted,0.0
succession,0,,985502002,unmanaged,natural,0.1
succession,0,,985502002,managed,natural,0.1
succession,1,,985502002,managed,planted,0.1
succession,0,,985503001,unmanaged,planted,0.16
succession,0,,985503001,managed,planted,0.16
succession,0,,985502002,unmanaged,natural,0.29
succession,0,,985502002,managed,natural,0.29
succession,1,,985502002,managed,planted,0.29
succession,0,,985502008,unmanaged,natural,0.25
succession,0,,985502008,managed,natural,0.25
succession,1,,985502008,managed,planted,0.25
succession,0,,985502004,unmanaged,planted,0.69
succession,0,,985502004,managed,planted,0.69
succession,0,,985502002,unmanaged,natural,0.02
succession,0,,985502002,managed,natural,0.02
succession,1,,985502002,managed,planted,0.02
succession,0,,985503000,unmanaged,planted,0.02
succession,0,,985503000,managed,planted,0.02
succession,0,,985503000,unmanaged,natural,0.21
succession,0,,985503000,managed,natural,0.21
succession,1,,985503000,managed,planted,0.21
