TRACK,STRATA
1,1.0 x 0+treatment()+AU(985502004)+IFM(managed)
2,1.0 x 0+treatment()+AU(985503001)+IFM(managed)
3,1.0 x 0+treatment()+AU(985502003)+IFM(managed)
4,1.0 x 0+treatment()+AU(985503000)+IFM(managed)
5,1.0 x 0+treatment()+AU(985501003)+IFM(managed)
6,1.0 x 0+treatment()+AU(985501001)+IFM(managed)
7,1.0 x 0+treatment()+AU(985502002)+IFM(managed)
8,1.0 x 0+treatment()+AU(985501000)+IFM(managed)
9,1.0 x 0+treatment()+AU(985502001)+IFM(managed)
10,1.0 x 0+treatment()+AU(985503003)+IFM(managed)
11,1.0 x 0+treatment()+AU(985502006)+IFM(managed)
12,1.0 x 0+treatment()+AU(985502007)+IFM(managed)
13,1.0 x 0+treatment()+AU(985502008)+IFM(managed)
14,1.0 x 0+treatment()+AU(985502005)+IFM(managed)
