TRACK,BEGIN,END,TREATMENT,MANUAL,NEWTRACK,ADJUST,OFFSET,RETAIN,CURVE,CYCLE,ELIGIBILITY
2,30,756,CC,false,2,A,0,0,,0,
4,54,756,CC,false,4,A,0,0,,0,
6,82,756,CC,false,6,A,0,0,,0,
8,58,756,CC,false,8,A,0,0,,0,
10,90,756,CC,false,11,A,0,0,,0,
11,90,756,CC,false,11,A,0,0,,0,
13,94,756,CC,false,13,A,0,0,,0,
15,62,756,CC,false,16,A,0,0,,0,
16,62,756,CC,false,16,A,0,0,,0,
18,58,756,CC,false,18,A,0,0,,0,
20,58,756,CC,false,20,A,0,0,,0,
22,78,756,CC,false,23,A,0,0,,0,
23,78,756,CC,false,23,A,0,0,,0,
25,58,756,CC,false,18,A,0,0,,0,
27,82,756,CC,false,6,A,0,0,,0,
29,58,756,CC,false,8,A,0,0,,0,
31,74,756,CC,false,32,A,0,0,,0,
32,74,756,CC,false,32,A,0,0,,0,
34,66,756,CC,false,35,A,0,0,,0,
35,66,756,CC,false,35,A,0,0,,0,
37,94,756,CC,false,13,A,0,0,,0,
40,66,756,CC,false,41,A,0,0,,0,
41,66,756,CC,false,41,A,0,0,,0,
43,58,756,CC,false,20,A,0,0,,0,
46,58,756,CC,false,47,A,0,0,,0,
47,58,756,CC,false,47,A,0,0,,0,
50,54,756,CC,false,4,A,0,0,,0,
